"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"gdf10a_ChrAur2"	0.912767763	0	FALSE	0.89500900522194	NA
"adamts10"	0.912694886	0	FALSE	0.894937546112714	NA
"c1ql1l2_ChrAur2"	0.91120176	0	FALSE	0.893473470287404	NA
"mmp9"	0.910954752	0	FALSE	0.893231268061029	NA
"fgf11a"	0.910174351	0	FALSE	0.892466050498581	NA
"gas6"	0.907554586	0	FALSE	0.889897255497694	NA
"sparcl1"	0.905376474	0	FALSE	0.887761520721112	NA
"igfbp1a"	0.905368332	0	FALSE	0.887753537131401	NA
"proca1"	0.905181572	0	FALSE	0.887570410723359	NA
"epoa"	0.905110907	0	FALSE	0.887501120577587	NA
"ntn1b"	0.902393275	0	FALSE	0.884836362671496	NA
"epd"	0.901694619	0	TRUE	0.884151299682969	NA
"ahsg2"	0.89939792	0	FALSE	0.881899285128326	NA
"pm20d1.2"	0.899386769	0	FALSE	0.881888351081549	NA
"tnr"	0.899194101	0	FALSE	0.881699431619219	NA
"comtb"	0.899104789	0	FALSE	0.881611857268421	NA
"otomp"	0.898718051	0	FALSE	0.881232643620994	NA
"gldn"	0.898061417	0	FALSE	0.88058878505482	NA
"fgf20b"	0.897823885	0	FALSE	0.880355874463927	NA
"asip2b"	0.89618633	0	FALSE	0.878750179641041	NA
"pltp"	0.895997201	0	FALSE	0.878564730324128	NA
"ccn2a"	0.895581905	0	FALSE	0.878157514299527	NA
"adcyap1b"	0.895324341	2	FALSE	0.877904961450089	NA
"tnca"	0.892802706	0	FALSE	0.875432387237493	NA
"selenop"	0.891282684	0	FALSE	0.873941938699231	NA
"fgf13a"	0.89024083	0	FALSE	0.872920354951508	NA
"bmp3"	0.886027017	0	FALSE	0.868788525658013	NA
"ca6"	0.884579116	0	FALSE	0.86736879493767	NA
"coch"	0.884108526	0	FALSE	0.866907360709994	NA
"hhipl1"	0.883824212	0	FALSE	0.866628578307037	NA
"pi15a"	0.883732654	0	FALSE	0.866538801654287	NA
"zp3b_ChrAur1"	0.883267688	0	FALSE	0.866082882006387	NA
"pdgfc"	0.881769274	0	FALSE	0.864613621064104	NA
"lipib"	0.878991826	0	FALSE	0.861890210934713	NA
"luzp2"	0.878707817	0	FALSE	0.861611727597694	NA
"c1qtnf12"	0.877791297	0	FALSE	0.860713039358782	NA
"col28a1b"	0.874754471	0	FALSE	0.857735297673034	NA
"calub"	0.87296387	0	FALSE	0.855979534504435	NA
"sfrp1a"	0.8728193	0	FALSE	0.855837777250148	NA
"nrg2a"	0.872634894	0	FALSE	0.855656959042815	NA
"fam3a"	0.872458877	0	FALSE	0.855484366619574	NA
"ggh"	0.870028192	0	FALSE	0.853100972888941	NA
"ognb"	0.869318301	0	FALSE	0.852404893487936	NA
"nampt2"	0.867269825	0	FALSE	0.850396272520698	NA
"angpt1"	0.867081221	0	FALSE	0.850211337989415	NA
"gdf15"	0.864654725	0	FALSE	0.847832051757836	NA
"crhb"	0.862044526	0	FALSE	0.845272636641396	NA
"si:ch211-196i2.1"	0.860235859	0	FALSE	0.843499158963868	NA
"tgfb5"	0.860192842	0	FALSE	0.843456978900177	NA
"chrd"	0.860147597	0	FALSE	0.843412614184329	NA
"pgrmc1"	0.85758275	0	FALSE	0.840897668701951	NA
"cartl"	0.857533252	0	FALSE	0.840849133732229	NA
"dag1_ChrAur2"	0.856941509	0	FALSE	0.840268903650444	NA
"spon1a_ChrAur1"	0.856516677	0	FALSE	0.839852337157717	NA
"ntn5"	0.856468678	0	FALSE	0.839805272023536	NA
"olfm3b"	0.855746696	0	FALSE	0.839097336864341	NA
"tgm8_ChrAur2"	0.855653965	0	FALSE	0.839006410033412	NA
"efemp1"	0.852097707	0	FALSE	0.835519342387167	NA
"col5a3b"	0.850779001	0	FALSE	0.834226293056239	NA
"clcf1"	0.850180526	0	FALSE	0.833639461951863	NA
"spon2a"	0.849904191	0	FALSE	0.833368503309935	NA
"fgf12a"	0.849014117	0	FALSE	0.832495746539148	NA
"fstl3"	0.847665537	0	FALSE	0.831173404435068	NA
"nell2a"	0.847053051	0	FALSE	0.830572834927912	NA
"sst7"	0.844103336	0	FALSE	0.827680509415494	NA
"c6.2"	0.841134869	0	FALSE	0.824769796740923	NA
"angpt2a"	0.841069239	0	FALSE	0.824705443634477	NA
"ccl36.1_ChrAur1"	0.841002302	0	FALSE	0.824639808956949	NA
"fgfbp3"	0.83841324	0	FALSE	0.822101119600236	NA
"scube3"	0.838408273	0	FALSE	0.822096249237907	NA
"fbln5"	0.838111925	0	FALSE	0.821805666967771	NA
"sst1.1"	0.835404245	0	FALSE	0.819150667436133	NA
"adamtsl2"	0.835090499	0	FALSE	0.818843025660497	NA
"b3gat1a_ChrAur1"	0.834411726	0	FALSE	0.81817745882945	NA
"fgf14_ChrAur1"	0.831724858	0	FALSE	0.815542866380721	NA
"map4l"	0.829213485	0	FALSE	0.813080354511236	NA
"col12a1a"	0.828429587	0	FALSE	0.812311707986221	NA
"olfml2ba"	0.827154234	0	FALSE	0.811061168181786	NA
"nicol1"	0.826728376	0	FALSE	0.810643595650858	NA
"angptl1a_ChrAur1"	0.826091949	0	FALSE	0.810019550938439	NA
"npnta"	0.826001922	0	FALSE	0.80993127549864	NA
"vip"	0.825901142	1	FALSE	0.809832456268598	NA
"reln"	0.824035501	0	FALSE	0.80800311307398	NA
"smoc1"	0.823486376	0	FALSE	0.807464671818805	NA
"adamts5"	0.820781967	0	FALSE	0.804812879646777	NA
"pomca_ChrAur1"	0.820176445	0	FALSE	0.804219138648433	NA
"thpo_ChrAur1"	0.818850468	0	FALSE	0.802918959781668	NA
"apoeb_ChrAur1"	0.816623717	0	FALSE	0.800735532322708	NA
"c1ql4a_ChrAur1"	0.816236515	0	FALSE	0.800355863702839	NA
"clec11a"	0.815732759	0	FALSE	0.799861908750976	NA
"ccdc80"	0.815372083	0	FALSE	0.799508250042756	NA
"elna"	0.814477477	0	FALSE	0.798631049446304	NA
"pcolcea"	0.814465978	0	FALSE	0.798619774170195	NA
"sst1.2"	0.81373609	1	FALSE	0.797904086829687	NA
"cxcl12a"	0.809656892	0	FALSE	0.793904253474394	NA
"b2m_ChrAur1"	0.807998649	0	FALSE	0.792278273156061	NA
"tac3a"	0.806615972	1	FALSE	0.790922497441277	NA
"st3gal1l3"	0.803974796	1	FALSE	0.788332708011591	NA
"trh"	0.803974796	1	FALSE	0.788332708011591	NA
"tac1"	0.803785244	0	FALSE	0.788146843924542	NA
"a2ml_ChrAur2"	0.802485819	0	FALSE	0.786872700463572	NA
"cckb"	0.802471251	1	FALSE	0.786858415897753	NA
"postnb_ChrAur1"	0.802349776	0	FALSE	0.786739304308457	NA
"col15a1b"	0.797742313	0	FALSE	0.782221483847014	NA
"adgrl2b.1"	0.797207552	0	FALSE	0.781697127126671	NA
"scube1"	0.79694773	0	FALSE	0.781442360208752	NA
"nxph1_ChrAur1"	0.788088491	0	FALSE	0.772755486059787	NA
"pomca_ChrAur2"	0.784979205	0	FALSE	0.769706694151685	NA
"dkk1a"	0.782510672	0	FALSE	0.767286188789592	NA
"pros1"	0.766187524	0	FALSE	0.751280623030396	NA
"clu"	0.750929773	0	FALSE	0.736319725967652	NA
"col8a2_ChrAur1"	0.749420753	0	FALSE	0.734840065375103	NA
"wnt7bb"	0.717827834	0	FALSE	0.703861816413601	NA
"colec11"	0.711965021	0	FALSE	0.698113069970491	NA
"fgfbp1a"	0.698587046	0	FALSE	0.684995376092608	NA
"a2ml_ChrAur3"	0	0	FALSE	0	NA
"c1ql4l_ChrAur1"	0	0	FALSE	0	NA
"c3a.1_ChrAur2"	0	0	FALSE	0	NA
"cbln12_ChrAur2"	0	0	FALSE	0	NA
"cxcl8a"	0	0	FALSE	0	NA
"ndr2"	0	0	FALSE	0	NA
