,module_colors
ankrd40,brown
ankrd44,blue
ankrd45,brown
ankrd46b,turquoise
ankrd49,turquoise
ankrd50,turquoise
ankrd52a_ChrAur1,blue
ankrd52a_ChrAur2,turquoise
ankrd53,grey
ankrd54,blue
ankrd6b,blue
anks1ab,blue
anks1b,brown
anks3,grey
ankzf1,turquoise
anln,turquoise
anln2,turquoise
ano10a,blue
ano10b,blue
ano11,brown
ano1a_ChrAur1,turquoise
ano1a_ChrAur2,turquoise
ano2a,blue
ano2b,grey
ano3,turquoise
ano5a_ChrAur1,turquoise
ano5a_ChrAur2,turquoise
ano5b,blue
ano6,blue
ano7,grey
ano8a,turquoise
ano8b,turquoise
ano9b_ChrAur1,brown
ano9b_ChrAur2,grey
anos1b,turquoise
anp32a,turquoise
anp32b_ChrAur1,turquoise
anp32b_ChrAur2,turquoise
anp32e_ChrAur1,turquoise
anp32e_ChrAur2,turquoise
anpepa_ChrAur2,blue
antkmt,grey
antxr1a,blue
antxr1b,grey
antxr1c_ChrAur1,turquoise
antxr1c_ChrAur2,blue
antxr2a,turquoise
antxr2b,blue
anxa11b_ChrAur1,blue
anxa11b_ChrAur2,turquoise
anxa13,blue
anxa13l,blue
anxa1a,blue
anxa2a_ChrAur1,blue
anxa2a_ChrAur2,blue
anxa3a,turquoise
anxa3b,turquoise
anxa4,blue
anxa5a,grey
anxa5b,blue
anxa6,turquoise
aoc2_ChrAur1,turquoise
aox6,grey
ap1ar,blue
ap1b1,turquoise
ap1g1,blue
ap1g2,grey
ap1m1,turquoise
ap1m2,turquoise
ap1m3,turquoise
ap1s1,blue
ap1s2_ChrAur1,turquoise
ap1s2_ChrAur2,red
ap1s3b_ChrAur1,turquoise
ap2a1,turquoise
ap2b1,blue
ap2m1b,turquoise
ap2s1,turquoise
ap3b1a,turquoise
ap3b2,blue
ap3d1,brown
ap3m1,blue
ap3m2,turquoise
ap3s1,turquoise
ap3s2,turquoise
ap4b1,blue
ap4e1,blue
ap4m1,turquoise
ap4s1,turquoise
ap5b1,turquoise
ap5m1,brown
ap5s1,turquoise
ap5z1,turquoise
apba2b,grey
apbb1,blue
apbb1ip_ChrAur1,blue
apbb1ip_ChrAur2,blue
apbb2b,blue
apbb3,brown
apc,grey
apc2,brown
apcdd1l,blue
apeh,turquoise
apela,grey
apex1,turquoise
apex2,turquoise
aph1b,brown
api5,turquoise
apip,turquoise
aplf,turquoise
aplnra,blue
aplnrb,turquoise
aplp1,blue
aplp2,turquoise
apoa2,turquoise
apoc1_ChrAur3,grey
apodb,grey
apoeb_ChrAur1,blue
apoeb_ChrAur3,blue
apof,turquoise
apol_ChrAur2,blue
apol1,turquoise
apold1b,turquoise
apooa,turquoise
apoob,turquoise
apool,turquoise
appa_ChrAur1,blue
appa_ChrAur2,blue
appbp2,blue
appl1,blue
appl2,turquoise
aprt,blue
aptx,grey
aqp10b,blue
aqp11_ChrAur2,turquoise
aqp1a.1,blue
aqp3b_ChrAur1,brown
aqp3b_ChrAur2,turquoise
aqp4_ChrAur2,grey
aqp7,blue
aqr,turquoise
ar,turquoise
araf,turquoise
arap1a,grey
arap2,turquoise
arap3,blue
arb2a,turquoise
arcn1a,turquoise
arel1,brown
arf2b_ChrAur1,blue
arf2b_ChrAur2,turquoise
arf2b_ChrAur3,turquoise
arf3b_ChrAur1,turquoise
arf3b_ChrAur2,grey
arf5_ChrAur1,turquoise
arf5_ChrAur2,turquoise
arf6b_ChrAur1,grey
arf6b_ChrAur2,blue
arfgap1,grey
arfgap2,turquoise
arfgap3,turquoise
arfgef1,turquoise
arfgef2,blue
arfgef3,blue
arfip1,turquoise
arfip2a,blue
arfip2b,blue
arfrp1,grey
arg1,blue
arg2,blue
arglu1a,turquoise
arhgap1,blue
