"","JM","JM_p","JF","JF_p"
"abi3b",0.71738670850562,0.000251676455534895,-0.71738670850562,0.000251676455534895
"abi3bpb_ChrAur1",0.613796171610193,0.00308031605625003,-0.613796171610193,0.00308031605625003
"abitram",-0.787743238749682,2.24204366379951e-05,0.787743238749682,2.24204366379951e-05
"abl1",0.810794496990757,8.28582862241717e-06,-0.810794496990757,8.28582862241717e-06
"abl2",-0.858175542722659,6.51777323410289e-07,0.858175542722659,6.51777323410289e-07
"ablim1a",0.78750895048132,2.26342664776951e-05,-0.78750895048132,2.26342664776951e-05
"ablim2",0.62377690302115,0.00251378828204319,-0.62377690302115,0.00251378828204319
"ablim3",0.66992282233356,0.000892504689640207,-0.66992282233356,0.000892504689640207
"abr",0.849774179016971,1.08791606270558e-06,-0.849774179016971,1.08791606270558e-06
"abracl",-0.72207728149608,0.000219105179098718,0.72207728149608,0.000219105179098718
"abraxas1",-0.797730939117265,1.47925470726844e-05,0.797730939117265,1.47925470726844e-05
"abraxas2",0.767391605897236,4.90852422960117e-05,-0.767391605897236,4.90852422960117e-05
"abt1",-0.670998491187326,0.000869404746788979,0.670998491187326,0.000869404746788979
"abtb1",0.855034703693938,7.92305199538166e-07,-0.855034703693938,7.92305199538166e-07
"abtb2b",-0.587166477430075,0.00513480699094012,0.587166477430075,0.00513480699094012
"acaa1",0.393479492479628,0.0776102144211859,-0.393479492479628,0.0776102144211859
"acaa2",-0.934448857969087,5.79621300523772e-10,0.934448857969087,5.79621300523772e-10
"acaca",0.63804295305825,0.00185746854783479,-0.63804295305825,0.00185746854783479
"acacb",0.768412373945084,4.72816024158547e-05,-0.768412373945084,4.72816024158547e-05
"acad11",-0.462396767267355,0.0348125331104387,0.462396767267355,0.0348125331104387
"acad8",-0.266859147374686,0.242251427680209,0.266859147374686,0.242251427680209
"acad9_ChrAur1",-0.374046728818898,0.0948382787414933,0.374046728818898,0.0948382787414933
