,MEblack,MEblack_p,MEblue,MEblue_p,MEgreen,MEgreen_p,MEturquoise,MEturquoise_p,MEred,MEred_p,MEbrown,MEbrown_p,MEyellow,MEyellow_p,MEgrey,MEgrey_p,module_colors
nrm,-0.324664646,0.151019896,-0.27057615,0.235504216,0.577361948,0.006132202,0.263332314,0.248767725,0.268334126,0.239559225,0.418620877,0.058932214,0.393915752,0.077252414,0.503411413,0.019995732,grey
nrp1a,0.585984919,0.005247358,0.972013202,2.07E-13,-0.504520166,0.019680367,-0.95223555,3.07E-11,0.063184361,0.785553696,0.321041009,0.155899755,-0.193409127,0.400900247,-0.225408099,0.325893223,blue
nrp1a_ChrAur1,0.591450285,0.004743381,0.881995492,1.25E-07,-0.417673326,0.059567181,-0.855626833,7.64E-07,-0.079096322,0.733250704,0.214234615,0.351067184,-0.21188103,0.356510222,-0.281792684,0.2158898,blue
nrp2b,0.077776502,0.737549411,0.149709987,0.51716986,-0.526871286,0.014127218,-0.182745702,0.427849088,-0.394677221,0.076630848,-0.333527141,0.139537676,-0.178061521,0.439985635,-0.497146676,0.021854474,grey
nrros,0.676582808,0.000757472,0.940774848,2.27E-10,-0.16712737,0.469008011,-0.858963245,6.20E-07,0.233026749,0.309364283,0.452614614,0.039374965,-0.213228023,0.353389139,-0.002808331,0.990360739,blue
g1762,0.638323016,0.001846194,0.4389875,0.04649175,-0.594922047,0.004444619,-0.512363216,0.017561624,-0.090308497,0.697053078,-0.233093069,0.309222676,-0.60933357,0.003366131,-0.456416359,0.037549553,turquoise
prom1b,-0.046055974,0.842860418,0.479059993,0.028004574,0.093359726,0.687307378,-0.512580318,0.017505699,0.479709918,0.027762163,0.729082027,0.000177227,0.392411259,0.078491563,0.441607995,0.045051378,turquoise
matn3a_ChrAur2,0.019086438,0.93455419,0.528667854,0.013742754,0.28814095,0.205282165,-0.513454054,0.017282071,0.277158347,0.223858378,0.809976759,8.60E-06,0.460786714,0.035533507,0.34700166,0.123284335,turquoise
kcnh3_ChrAur1,-0.148008595,0.521996988,0.444650526,0.043422621,0.011998562,0.958832247,-0.51519594,0.016843104,0.253219296,0.268071568,0.686143735,0.000594215,0.493221241,0.02308773,0.250788777,0.272847923,turquoise
nsa2,0.878173716,1.67E-07,0.543983409,0.010797187,-0.512743844,0.017463669,-0.488027986,0.024803816,-0.259188287,0.256566846,-0.429351537,0.052096106,-0.819105156,5.60E-06,-0.58046259,0.005800845,black
nsd1a,0.405642279,0.068089821,0.969048314,5.32E-13,-0.340178324,0.131335799,-0.955202432,1.69E-11,0.121164835,0.600847734,0.557352741,0.008667171,0.081134116,0.726628629,-0.097455293,0.674300936,blue
nsd1b,0.480726782,0.027386225,0.975872394,5.13E-14,-0.267937839,0.240280636,-0.931024632,9.28E-10,0.109368623,0.636983512,0.525571347,0.014410796,0.014989249,0.948582786,-0.095409648,0.680786467,blue
nsd2,-0.821987526,4.86E-06,-0.881355098,1.31E-07,0.463855421,0.034169299,0.85636986,7.30E-07,-0.019006838,0.934826573,-0.09411172,0.684912733,0.489709043,0.024237579,0.309255944,0.17252712,blue
g12210,0.108843344,0.638612012,0.441926445,0.044878721,-0.197372866,0.391127549,-0.515417321,0.016787964,0.410591011,0.064479445,0.468488754,0.032187734,0.125922113,0.586519905,0.291983604,0.199033301,turquoise
nsdhl,-0.733969802,0.000152265,-0.665000063,0.001004989,0.732478633,0.000159537,0.684264057,0.000623694,0.059645908,0.797315255,0.224606329,0.327662776,0.630170813,0.002198962,0.446268418,0.042575314,blue
g17978,-0.010178374,0.965073424,0.161859575,0.48332882,0.702045374,0.000388887,-0.059874404,0.796554445,0.319450242,0.158076311,0.644228582,0.001621522,0.320636548,0.156451166,0.504367046,0.019723681,brown
igdcc4,-0.052329446,0.821766492,0.523540666,0.014862983,0.075496001,0.744994836,-0.515544925,0.016756247,0.111244962,0.631179567,0.633624556,0.00204316,0.441324573,0.045205476,0.152288662,0.509894463,turquoise
ggt5a,0.202100762,0.379646534,0.573978282,0.006511484,0.269765162,0.236965816,-0.516115276,0.016615072,0.210332023,0.360119034,0.644969686,0.001595031,0.251446142,0.271550858,0.272726982,0.231656312,turquoise
nsg2,-0.730910346,0.000167506,-0.643898995,0.001633422,0.329615243,0.144527248,0.542403195,0.011074919,-0.159561011,0.489645142,0.040051826,0.863146427,0.56444721,0.007685117,0.08470588,0.715067109,blue
sv2ca_ChrAur2,-0.126241504,0.585563208,0.504900513,0.019573107,-0.124243122,0.591560016,-0.516200302,0.016594108,5.82E-05,0.999800101,0.496998226,0.021900135,0.425873816,0.054241287,0.019763075,0.932239102,turquoise
ppfia3_ChrAur2,-0.233361455,0.308650014,0.384728212,0.085052239,-0.221280752,0.335063474,-0.516240938,0.016584097,0.342854481,0.128134566,0.613284306,0.003112032,0.496284297,0.022120794,0.220937615,0.33583267,turquoise
osgep,0.041815723,0.857177629,0.5524427,0.009405288,0.328986907,0.145340229,-0.516306973,0.016567838,0.366901673,0.101831114,0.825689223,4.05E-06,0.43623771,0.048041174,0.452717151,0.039324842,turquoise
ccsapb,-0.006254448,0.978534257,0.51907316,0.015898216,0.077733691,0.737688977,-0.516348486,0.016557624,0.361778526,0.107072033,0.645419492,0.001579131,0.41589008,0.060776272,0.287569168,0.206223051,turquoise
nudt17,0.50878529,0.018504175,0.46169811,0.035123967,-0.356367813,0.112817272,-0.516910063,0.016419943,-0.01604009,0.944983194,-0.018404598,0.936887593,-0.325324082,0.150143481,-0.235368835,0.304387263,turquoise
LOC119026991,-0.277157284,0.223860227,0.394200106,0.077019864,-0.093054538,0.688280039,-0.516921055,0.016417257,0.310042416,0.17138108,0.73851318,0.00013184,0.583127297,0.005528034,0.259066762,0.256797884,turquoise
nsrp1,-0.581120119,0.005732515,-0.298666292,0.188472724,0.54252786,0.011052799,0.33664217,0.135652515,-0.11223358,0.628129902,0.293777147,0.196160849,0.656314969,0.001232825,0.210971133,0.358627516,yellow
g1126,0.074920773,0.746876339,0.616810028,0.002899002,0.279131665,0.220442059,-0.517148828,0.016361685,0.172059132,0.455798961,0.725594404,0.000197124,0.408697742,0.065843141,0.25569814,0.263254942,turquoise
zmynd10,0.01615822,0.94457861,0.489069331,0.024451831,-0.121618571,0.599474939,-0.517717775,0.016223537,0.853830689,8.53E-07,0.701190482,0.000398122,0.223204336,0.330770785,0.66880679,0.00091702,turquoise
l3mbtl1b,0.119395827,0.606212337,0.635101273,0.001979436,0.347492303,0.122719349,-0.517777647,0.016209054,0.165055089,0.47461574,0.736823328,0.000139142,0.384136522,0.085573858,0.229512601,0.316924003,turquoise
g16046,0.236730957,0.301515296,0.478741685,0.028123906,-0.423158762,0.055962536,-0.51902443,0.01590982,-0.077249226,0.73926889,0.057976771,0.802878215,-0.064695235,0.780545172,-0.240192189,0.294292298,turquoise
g13136,0.344438065,0.126266717,0.508906414,0.018471616,-0.447204792,0.042090822,-0.519086896,0.015894946,-0.175701281,0.446168913,-0.036546475,0.875029098,-0.147414076,0.523688734,-0.34976712,0.120124099,turquoise
nt5c2a_ChrAur1,0.190351206,0.408530716,0.868223524,3.38E-07,-0.395440679,0.076011423,-0.914042418,7.02E-09,0.156351433,0.498532629,0.604031071,0.003734189,0.267411968,0.241240113,-0.032423729,0.88903767,blue
nt5c2a_ChrAur2,0.52824667,0.013832117,0.979646929,1.03E-14,-0.400085038,0.072323737,-0.96062298,5.07E-12,0.133491611,0.564028056,0.462091515,0.034948336,-0.08023813,0.72953797,-0.113928568,0.62291481,blue
