,MEblack,MEblack_p,MEblue,MEblue_p,MEgreen,MEgreen_p,MEturquoise,MEturquoise_p,MEred,MEred_p,MEbrown,MEbrown_p,MEyellow,MEyellow_p,MEgrey,MEgrey_p,module_colors
atp1a3b,0.463923893,0.034139335,0.978922997,1.44E-14,-0.356078457,0.113130676,-0.961535675,4.07E-12,0.157443979,0.4954985,0.526969124,0.014106059,0.018657548,0.936021883,-0.060451674,0.794633132,blue
ube3c,-0.442587549,0.044521918,-0.918722701,4.20E-09,0.474358329,0.029808466,0.967814342,7.68E-13,-0.200288618,0.384024368,-0.485674953,0.025613996,0.016546265,0.943249687,0.060283338,0.795193283,turquoise
tdrd3_ChrAur1,-0.613549131,0.003095589,-0.937384559,3.79E-10,0.455402988,0.038029531,0.967728857,7.87E-13,-0.089798589,0.698686273,-0.366907576,0.101825186,0.185259982,0.421409328,0.213549268,0.352647141,turquoise
kif11,-0.558180954,0.008547482,-0.927925896,1.39E-09,0.46807621,0.032360415,0.967728255,7.87E-13,-0.005426973,0.981373702,-0.356859702,0.112285948,0.123387298,0.594136097,0.260957797,0.253217755,turquoise
atp23,-0.324424442,0.151340025,-0.898368069,3.24E-08,0.172653667,0.454219684,0.890582199,6.32E-08,-0.130604812,0.572560712,-0.640957682,0.001742921,-0.19772655,0.390262045,-0.012833806,0.955969064,blue
lrp11,-0.088495274,0.7028665,0.613068856,0.003125463,0.088412637,0.703131827,-0.636489243,0.001921075,0.597766155,0.004211676,0.924201519,2.21E-09,0.547316797,0.010229929,0.568887888,0.007118366,brown
atp2a2b_ChrAur1,0.172165415,0.455516431,0.870064599,2.98E-07,-0.173637282,0.45161312,-0.86690443,3.69E-07,0.21724269,0.344181426,0.722955734,0.000213427,0.346780168,0.123539998,0.090891609,0.695186996,blue
nup160_ChrAur1,-0.552586992,0.009382887,-0.948190031,6.55E-11,0.458507804,0.036573914,0.967713128,7.91E-13,-0.100026287,0.666181299,-0.406150904,0.067711872,0.124695864,0.590199145,0.200874617,0.3826056,turquoise
atp2a3,-0.520999418,0.015444946,-0.77608109,3.55E-05,0.31030594,0.170998248,0.743802284,0.000111079,-0.110525247,0.633403365,-0.311312213,0.169541809,0.198928387,0.387329011,0.14275506,0.537035032,blue
brf1a,-0.618857809,0.002780973,-0.942795425,1.64E-10,0.537114448,0.012047095,0.967682515,7.98E-13,-0.121864056,0.598732759,-0.319635339,0.157821972,0.23106322,0.313574673,0.198961583,0.387248175,turquoise
arpp19b_ChrAur1,-0.491636137,0.023601168,-0.961805944,3.81E-12,0.358247923,0.110796203,0.967661131,8.03E-13,-0.081374801,0.725847717,-0.485993425,0.02550313,-0.000567719,0.99805133,0.144838987,0.531046021,turquoise
atp2b2,0.010283781,0.96471194,0.697715469,0.000437617,-0.227390685,0.321542103,-0.700604106,0.000404564,0.275334145,0.227047296,0.655367671,0.001260128,0.355245097,0.11403681,0.2068872,0.368219755,blue
g14661,-0.186277384,0.418818411,0.606105729,0.00358638,0.050424199,0.828160873,-0.619184372,0.002762528,0.44661981,0.042392994,0.924172772,2.22E-09,0.631394513,0.002142657,0.456908033,0.037318386,brown
g18795,-0.586346556,0.005212695,-0.932020327,8.11E-10,0.555216318,0.008982272,0.967625288,8.11E-13,-0.193795322,0.399942201,-0.343765436,0.127057694,0.20882974,0.363639025,0.130277434,0.573531899,turquoise
trim36,-0.552758757,0.009356277,-0.932489987,7.61E-10,0.468050947,0.032371014,0.967615449,8.14E-13,-0.239696337,0.295320461,-0.437796625,0.047157962,0.135970178,0.556747258,0.070180759,0.762432283,turquoise
slc35a4,-0.398817007,0.07331694,-0.933870525,6.29E-10,0.42901881,0.05229848,0.967613246,8.14E-13,-0.184634516,0.423006418,-0.523629865,0.014842882,-0.056987628,0.806179221,0.055858512,0.809951229,turquoise
dcun1d1,-0.403784624,0.069483748,-0.919798259,3.72E-09,0.402091593,0.070772781,0.967562079,8.26E-13,-0.142277436,0.538412055,-0.526152046,0.014283554,-0.060708595,0.793778395,0.081807452,0.724444626,turquoise
kpna2_ChrAur2,-0.37374608,0.095125202,-0.91921744,3.97E-09,0.403107755,0.069996959,0.967510799,8.39E-13,-0.047982174,0.836372052,-0.513663832,0.017228723,-0.104645787,0.651682543,0.152270474,0.509945606,turquoise
atp5f1e,0.574587645,0.006441787,-0.028395115,0.902757246,0.367112576,0.101619459,0.155428688,0.501102247,0.066515411,0.774522424,-0.198881565,0.387443048,-0.586073386,0.00523886,0.025473132,0.912725088,yellow
vars1,-0.465637591,0.033396093,-0.894151003,4.68E-08,0.638065836,0.001856545,0.967493599,8.43E-13,-0.179436813,0.436403629,-0.341747301,0.129452153,0.111076933,0.631698477,0.168907257,0.464218543,turquoise
elp1,-0.414933324,0.061432623,-0.913857477,7.16E-09,0.394271044,0.076961931,0.967488956,8.44E-13,-0.082649096,0.721717606,-0.511034635,0.017907004,-0.063770636,0.783609223,0.1458372,0.52818832,turquoise
atp5if1a,0.671236955,0.000864353,-0.043956113,0.849944921,-0.244396101,0.285664072,0.116047327,0.616420244,-0.322639363,0.153733936,-0.776504425,3.49E-05,-0.897491961,3.50E-08,-0.555892569,0.008881533,yellow
tspan13b_ChrAur2,-0.423046134,0.056034829,-0.926716971,1.62E-09,0.4965218,0.022047191,0.967469003,8.49E-13,-0.201183577,0.381858765,-0.481994388,0.026923242,0.009117097,0.968713326,0.098823541,0.669975368,turquoise
nup155,-0.57671773,0.006202971,-0.949142038,5.51E-11,0.431462557,0.050826094,0.96741354,8.62E-13,-0.101419042,0.661797632,-0.401180854,0.071473598,0.13454524,0.560927877,0.173931158,0.450835863,turquoise
atp5l_ChrAur2,0.730575005,0.000169254,-0.080633497,0.728253738,0.150250001,0.515642206,0.19857923,0.388179839,-0.10465827,0.651643524,-0.545349748,0.010561647,-0.86592173,3.95E-07,-0.252616439,0.269251325,yellow
ppifb,-0.449016661,0.041165501,-0.895431247,4.19E-08,0.650318232,0.001414449,0.967404183,8.65E-13,-0.054457119,0.81463846,-0.313702539,0.166116445,0.093058118,0.688268628,0.260380272,0.254307727,turquoise
mlst8,-0.305474344,0.1781111,-0.895203622,4.28E-08,0.427509349,0.053224164,0.967400547,8.66E-13,-0.188251637,0.413815424,-0.577808189,0.006083572,-0.160188411,0.487917046,0.034303901,0.882644885,turquoise
alas1_ChrAur2,-0.430038055,0.051680446,-0.903918043,1.94E-08,0.553870076,0.009185603,0.967367784,8.74E-13,-0.055269871,0.8119193,-0.374086898,0.094799992,0.016341037,0.943952506,0.218749115,0.340763058,turquoise
g4662,-0.461490358,0.035216995,-0.893337311,5.02E-08,0.522844043,0.015020721,0.967363676,8.75E-13,-0.053615294,0.81745705,-0.383048374,0.086539333,0.040607893,0.861263977,0.23077675,0.314191829,turquoise
dkc1,-0.352991276,0.116513709,-0.897014314,3.65E-08,0.547400787,0.010215957,0.967353169,8.77E-13,-0.150229482,0.515700214,-0.46778862,0.032481224,-0.052566986,0.820970016,0.132311984,0.567507936,turquoise
atp5meb,-0.139158034,0.547445298,-0.806712962,9.98E-06,0.13996722,0.545095437,0.833036687,2.77E-06,-0.236265328,0.302495182,-0.754041074,7.88E-05,-0.365341242,0.103407133,-0.157155994,0.496297387,blue
g11307,-0.556694927,0.008763211,-0.948416043,6.29E-11,0.441640042,0.04503398,0.967324613,8.85E-13,-0.062537523,0.787700461,-0.386916307,0.083143758,0.111996876,0.628859552,0.211551063,0.357277204,turquoise
g16144,-0.482434994,0.026763774,-0.945462761,1.05E-10,0.420517081,0.057677041,0.96727711,8.97E-13,-0.102678286,0.657843329,-0.453808341,0.038794506,0.024962811,0.914467295,0.130113282,0.574019139,turquoise
nudc,-0.410372898,0.064635449,-0.949824262,4.86E-11,0.339472979,0.13218893,0.967269335,8.99E-13,-0.127039313,0.583176385,-0.569810703,0.007005021,-0.089873318,0.698446841,0.072791157,0.753854066,turquoise
kbtbd2,-0.554507457,0.009088871,-0.94764296,7.22E-11,0.353445759,0.116011147,0.967267737,8.99E-13,-0.169594184,0.462376815,-0.474553072,0.029731974,0.07818555,0.736216312,0.09515166,0.681605947,turquoise
atp5pd_ChrAur1,0.678232363,0.000726854,-0.005352271,0.981630052,0.039157977,0.866173855,0.122508323,0.596786757,0.044653377,0.847591232,-0.482348133,0.026795152,-0.825447908,4.09E-06,-0.134509302,0.561033495,yellow
nob1,-0.30830132,0.173925244,-0.895147871,4.30E-08,0.543224408,0.010929868,0.967261287,9.01E-13,-0.135755062,0.55737749,-0.497986404,0.021597615,-0.107281918,0.643462267,0.123102689,0.594993828,turquoise
atp5pf_ChrAur1,0.688942018,0.000552534,-0.040454763,0.861782295,0.296341823,0.192102053,0.157498557,0.495347169,0.007267431,0.97505859,-0.350877786,0.118871421,-0.734630684,0.000149134,-0.12608304,0.586037784,yellow
cpt2,-0.55600531,0.008864829,-0.948589515,6.09E-11,0.378850971,0.090339283,0.967250302,9.04E-13,-0.098750742,0.670205264,-0.448313473,0.041522722,0.085642431,0.712045363,0.152358313,0.509698637,turquoise
setdb2,-0.372877704,0.095957519,-0.912687959,8.10E-09,0.446900391,0.042247851,0.967217734,9.12E-13,-0.015947842,0.945299142,-0.485567676,0.025651428,-0.082733841,0.721443202,0.205290775,0.372008874,turquoise
g11020,-0.545716705,0.010499108,-0.94065756,2.31E-10,0.491639275,0.023600142,0.967193831,9.18E-13,-0.168306195,0.465833128,-0.40093842,0.071661028,0.142505898,0.53775318,0.126044606,0.586152913,turquoise
hwa,-0.523418874,0.014890464,-0.909105492,1.17E-08,0.643095486,0.001662743,0.967181506,9.22E-13,-0.092410005,0.690335781,-0.28612468,0.208612794,0.165812685,0.472561722,0.248912937,0.276570557,turquoise
atp6ap1lb,0.293696775,0.196288968,0.83786363,2.14E-06,-0.320506285,0.156629044,-0.798888289,1.41E-05,-0.182694709,0.427980237,0.401982176,0.070856703,0.11210025,0.628540856,-0.279007031,0.22065681,blue
elovl6l_ChrAur2,-0.490557989,0.023955559,-0.898110148,3.31E-08,0.575424127,0.006347116,0.967057677,9.55E-13,-0.039280232,0.865759678,-0.331703139,0.141848787,0.103800994,0.654325176,0.278448665,0.221620597,turquoise
tomm40,-0.433277272,0.049753485,-0.911804885,8.88E-09,0.380958338,0.08841636,0.967030836,9.62E-13,-0.137132328,0.553347997,-0.520856531,0.015478206,-0.040574446,0.861377186,0.092111533,0.691288472,turquoise
msh5,-0.044914556,0.846709916,0.599582055,0.004068327,0.136331724,0.555688743,-0.596800264,0.004289619,0.699445795,0.000417552,0.923536093,2.40E-09,0.479382426,0.027884104,0.636362894,0.001926327,brown
atp6v0a2a,-0.30903075,0.172856236,0.03031603,0.896211945,0.60924875,0.00337177,0.069015558,0.766270068,0.322578393,0.153816165,0.632454905,0.00209485,0.509574646,0.018292818,0.589435662,0.00492426,grey
tdrd3_ChrAur2,-0.431433719,0.050843281,-0.931580528,8.61E-10,0.475287618,0.029444848,0.967026322,9.63E-13,-0.121442379,0.60000786,-0.449491364,0.040925705,-0.012331387,0.957691278,0.126560191,0.584609283,turquoise
ubiad1,-0.49988666,0.021025256,-0.916710557,5.26E-09,0.583005735,0.005540244,0.966840304,1.02E-12,-0.016229896,0.944333135,-0.306182,0.177056889,0.106329043,0.646429067,0.270005116,0.236532748,turquoise
ogg1,-0.438349677,0.046847657,-0.892818544,5.24E-08,0.582894365,0.00555145,0.966758378,1.04E-12,-0.159913826,0.488672984,-0.387409125,0.082718347,0.048662339,0.834083352,0.159674634,0.489331959,turquoise
cdk21,-0.087471324,0.706156502,0.528582514,0.013760822,0.092853406,0.688921324,-0.585156067,0.005327524,0.649728613,0.001433468,0.922751431,2.63E-09,0.506176655,0.019216645,0.60371969,0.003756805,brown
g51,-0.48252445,0.026731489,-0.912270668,8.46E-09,0.617412162,0.002863869,0.966702591,1.06E-12,-0.114600622,0.620851833,-0.335594461,0.136950587,0.119758584,0.605110657,0.203436495,0.376437758,turquoise
far1,-0.508867447,0.018482086,-0.93499198,5.37E-10,0.349517878,0.120406508,0.966672885,1.06E-12,-0.191550654,0.405528303,-0.530745131,0.01330883,0.033914427,0.883968576,0.063442491,0.784697415,turquoise
dnm1l_ChrAur2,-0.57955964,0.005895775,-0.93779429,3.57E-10,0.433720714,0.049494052,0.966671752,1.06E-12,-0.108383099,0.640040206,-0.392665561,0.078281075,0.132242073,0.567714469,0.159210843,0.490610952,turquoise
fam193b,-0.39122236,0.079481235,-0.928405749,1.31E-09,0.310633905,0.170522624,0.966669067,1.07E-12,-0.189852264,0.409783219,-0.607290647,0.003504173,-0.11350464,0.624217523,0.017454301,0.940140545,turquoise
crsp7_ChrAur1,-0.596471318,0.004316436,-0.957175627,1.11E-11,0.401276639,0.071399646,0.966632391,1.08E-12,-0.202880046,0.377772621,-0.42984494,0.051797111,0.151480629,0.512168917,0.083177476,0.720007251,turquoise
hmgcrb,-0.569969631,0.006985651,-0.932866534,7.22E-10,0.391016033,0.079653931,0.966600732,1.09E-12,-0.073648061,0.75104415,-0.425507099,0.054471374,0.104424229,0.65237522,0.187625636,0.415398255,turquoise
atp6v1c1a_ChrAur1,-0.043525758,0.851398246,0.121250795,0.600587557,-0.122490284,0.596841206,-0.176473148,0.444141818,-0.165318322,0.473901544,0.095759092,0.679677033,0.111141112,0.63150026,-0.261757579,0.251713253,grey
atp6v1c1a_ChrAur2,-0.015439284,0.947041096,-0.703438377,0.000374233,0.038331907,0.868973327,0.728921905,0.000178101,-0.063553834,0.784328137,-0.711974761,0.000294344,-0.501223392,0.020629945,-0.042353139,0.855360557,blue
g11223,-0.045941684,0.843245711,0.61120157,0.00324391,0.101506324,0.661523267,-0.610183308,0.003310065,0.651283034,0.001383789,0.92274212,2.64E-09,0.47366679,0.030081347,0.604883987,0.00367282,brown
axdnd1,-0.109072289,0.637902027,0.603735432,0.003755659,0.00273336,0.990618057,-0.63844093,0.001841464,0.697960419,0.000434727,0.922317232,2.77E-09,0.523182968,0.014943809,0.62099904,0.002661888,brown
g19665,-0.546703584,0.010332414,-0.921987035,2.88E-09,0.523261194,0.014926103,0.966583379,1.09E-12,-0.097024786,0.675663992,-0.361321243,0.107549183,0.1444757,0.532087828,0.223319031,0.330515868,turquoise
styx,-0.408493272,0.065991714,-0.921687957,2.99E-09,0.521871819,0.015243122,0.966499653,1.12E-12,-0.076579472,0.741454724,-0.426811197,0.053656534,-0.005752012,0.980258319,0.169645645,0.462238992,turquoise
mdh1ab,-0.54822937,0.01007895,-0.920200512,3.55E-09,0.630882707,0.002166057,0.966433025,1.14E-12,-0.039734732,0.864220201,-0.26980254,0.236898321,0.190151909,0.409030763,0.288256261,0.205092767,turquoise
marchf4b,-0.16396632,0.477575509,0.443997109,0.043768505,0.179979254,0.434995077,-0.465659093,0.033386849,0.763938515,5.56E-05,0.921615884,3.01E-09,0.530358106,0.013388822,0.752028311,8.44E-05,brown
dmap1,-0.548235408,0.010077957,-0.956273281,1.35E-11,0.368384961,0.100349351,0.966422704,1.14E-12,-0.135296323,0.558722539,-0.460681275,0.035581127,0.067638073,0.770813849,0.115134915,0.619213687,turquoise
atp7a,-0.192446992,0.403292553,0.209575132,0.361890037,-0.465798446,0.033326987,-0.250188319,0.274036099,-0.191479988,0.405704855,-0.048025874,0.836224969,0.222460152,0.332427622,-0.309879884,0.17161749,grey
exosc9,-0.336275148,0.136106244,-0.929029842,1.21E-09,0.394428153,0.076833742,0.966398353,1.15E-12,-0.233126895,0.309150464,-0.598846764,0.004125874,-0.129958209,0.574479593,-0.024031492,0.917647736,turquoise
atp8a2,-0.47810765,0.028362801,-0.283601984,0.212830357,0.173384824,0.452281386,0.249763517,0.274878647,0.019177529,0.934242496,0.099822876,0.666822413,0.443190174,0.044198594,0.113455134,0.624369723,grey
fbxo5,-0.541656767,0.011208117,-0.945279218,1.09E-10,0.38427846,0.085448513,0.966391355,1.15E-12,-0.063150196,0.785667048,-0.429456245,0.052032543,0.067694342,0.770628095,0.175426025,0.446892964,turquoise
atp8b2,0.588899862,0.004973317,0.884450013,1.04E-07,-0.135167232,0.559101302,-0.828380807,3.53E-06,0.312827406,0.167364928,0.534153935,0.01262088,-0.126112631,0.58594915,0.084373501,0.716140506,blue
cdc20,-0.574852728,0.00641166,-0.921148594,3.18E-09,0.566365771,0.00743587,0.966338993,1.17E-12,-0.017098879,0.941357424,-0.281174441,0.216941852,0.186014043,0.41948821,0.302187783,0.183063372,turquoise
atp8b4,-0.678760886,0.00071727,-0.118701198,0.6083242,0.057306311,0.805115352,0.020612413,0.929333872,0.166741622,0.470049312,0.452378051,0.039490795,0.750679071,8.83E-05,0.290188435,0.201936487,yellow
atp8b5a,0.455093352,0.038177139,0.968829521,5.69E-13,-0.371102106,0.097676023,-0.915771838,5.82E-09,0.115670386,0.617573672,0.450612714,0.040363569,0.000200658,0.99931125,-0.090731606,0.695698872,blue
atp8b5b,-0.439226424,0.046358969,-0.097937736,0.672774607,0.578602586,0.005997791,0.195204059,0.396458228,0.155606555,0.500606431,0.479255897,0.027931329,0.578501743,0.006008625,0.387647019,0.082513573,grey
atp9a,-0.527771785,0.013933438,0.150079879,0.516123236,-0.379616007,0.089637668,-0.25779882,0.259216344,0.137923962,0.55103785,0.355086076,0.114210312,0.579557311,0.005896022,0.122122586,0.597951553,yellow
trmt1,-0.382181791,0.087313977,-0.922261539,2.79E-09,0.504048765,0.019813958,0.966307436,1.18E-12,-0.127433124,0.581999747,-0.459522037,0.036107978,-0.04487415,0.846846248,0.145716438,0.528533658,turquoise
pex1,-0.471293223,0.031032969,-0.93193376,8.21E-10,0.345033887,0.125569007,0.966302565,1.18E-12,-0.185523725,0.420736852,-0.537520609,0.011970058,-0.013389309,0.954065111,0.061619535,0.790749678,turquoise
wrap53,-0.548839989,0.009978947,-0.940348763,2.42E-10,0.402020452,0.070827337,0.966265479,1.19E-12,-0.269396501,0.237632176,-0.483320174,0.026445665,0.107350753,0.643248149,0.021943881,0.924781228,turquoise
kat7b,-0.531930046,0.013066331,-0.951461537,3.57E-11,0.374434463,0.094469186,0.966258868,1.20E-12,-0.016115539,0.944724787,-0.44276695,0.044425474,0.048547096,0.834471045,0.195187195,0.396499835,turquoise
atr,-0.691066763,0.000522576,-0.333580694,0.139470226,0.593941492,0.004527371,0.302027072,0.183307913,0.357441397,0.111659957,0.593197275,0.004591027,0.758219466,6.82E-05,0.683308321,0.000639154,grey
atraid,0.426311468,0.053967668,0.264186437,0.247179395,-0.64440831,0.001615064,-0.214835763,0.349684734,-0.091954217,0.691790789,-0.451623147,0.039862198,-0.610868992,0.003265395,-0.348804389,0.121217581,grey
fam210b,-0.53829816,0.011823696,-0.941274888,2.09E-10,0.459809026,0.035976982,0.966223673,1.21E-12,-0.184712083,0.422808178,-0.427055196,0.053505119,0.112427099,0.627533619,0.108702149,0.639050027,turquoise
atrn,-0.078239463,0.736040664,-0.119786026,0.605027348,-0.106541797,0.645766201,0.208920657,0.363425437,-0.371675857,0.097118271,-0.401641444,0.071118523,-0.074636811,0.74780566,-0.321365444,0.155458426,grey
g1860,-0.495506815,0.02236311,-0.953982763,2.17E-11,0.303544998,0.181007058,0.966203954,1.21E-12,-0.177581977,0.441238258,-0.545502272,0.010535616,-0.002621299,0.991002678,0.047991291,0.836341367,turquoise
atrnl1b_ChrAur2,-0.0043135,0.985194876,0.385892456,0.084032767,-0.112939381,0.625956222,-0.437697252,0.047213885,0.046157341,0.842518716,0.385483886,0.084389492,0.275741343,0.226332901,-0.034020542,0.883607898,grey
fastkd2,-0.472735164,0.030452076,-0.908571705,1.23E-08,0.503237139,0.020045667,0.966192871,1.22E-12,-0.097430162,0.674380479,-0.408433458,0.066035223,0.050155436,0.829063744,0.149785131,0.516957156,turquoise
atxn10,-0.194175889,0.398999349,0.493366116,0.023041251,-0.111074402,0.631706294,-0.468042363,0.032374615,0.179475038,0.436304292,0.526916468,0.014117443,0.468368301,0.032238078,0.178634294,0.438491945,blue
atxn1a,0.637924553,0.001862252,0.983734817,1.25E-15,-0.354638691,0.11469946,-0.941745805,1.94E-10,0.105612394,0.648663782,0.393307834,0.077751341,-0.189351007,0.411043643,-0.166064331,0.471880449,blue
g15111,-0.493487206,0.023002459,-0.911602959,9.06E-09,0.545434776,0.010547129,0.966177162,1.22E-12,-0.180606086,0.433370395,-0.401522992,0.071209712,0.103414393,0.655535849,0.130757823,0.572107041,turquoise
rwdd2b,-0.464289277,0.033979788,-0.884104179,1.06E-07,0.661100783,0.001102416,0.966149331,1.23E-12,-0.090325408,0.696998936,-0.312005104,0.168543925,0.118198406,0.609854701,0.228190977,0.319795646,turquoise
st14,-0.539169387,0.011661434,-0.91443387,6.73E-09,0.52777451,0.013932855,0.966145528,1.23E-12,-0.116064093,0.616368958,-0.358206911,0.110840008,0.138013303,0.55077741,0.219156122,0.339842921,turquoise
cdc40,-0.439796151,0.046043527,-0.942159865,1.82E-10,0.444040894,0.04374526,0.966112027,1.24E-12,-0.026506228,0.909199343,-0.442672271,0.044476352,-0.023589659,0.919157018,0.191647459,0.405286512,turquoise
stx11b.1,-0.514269873,0.017075347,-0.885922899,9.22E-08,0.548209149,0.010082275,0.966092435,1.25E-12,-0.149318881,0.51827761,-0.376135739,0.092862188,0.126189796,0.585718048,0.16301615,0.480166059,turquoise
atxn7,0.317395606,0.1609187,0.919096607,4.03E-09,-0.200080061,0.384530022,-0.87739026,1.77E-07,0.012761652,0.956216385,0.57159663,0.006789884,0.198730504,0.387811085,-0.104417919,0.652394951,blue
fbxw8,-0.407685827,0.066580899,-0.881289552,1.32E-07,0.600763222,0.003977282,0.965994835,1.29E-12,-0.078455727,0.735336197,-0.371766422,0.097030445,0.021794292,0.925292602,0.222501201,0.332336102,turquoise
eif2b5,-0.517963857,0.016164077,-0.911618974,9.05E-09,0.512026525,0.017648639,0.965982839,1.29E-12,-0.228402793,0.319334362,-0.41368716,0.062295575,0.116290871,0.615675466,0.094714862,0.68299419,turquoise
yrdc,-0.443872906,0.043834492,-0.893159318,5.09E-08,0.66382258,0.001033608,0.965969968,1.29E-12,-0.045901792,0.843380204,-0.298769219,0.1883131,0.086386502,0.709647598,0.270698948,0.235283416,turquoise
cenpk,-0.508267259,0.018643945,-0.900791265,2.60E-08,0.577262333,0.006143101,0.965921978,1.31E-12,0.001450476,0.995021334,-0.306590747,0.176449917,0.112591711,0.627026582,0.289056114,0.203782207,turquoise
lrmp,-0.596771439,0.004291964,-0.937390481,3.79E-10,0.546952141,0.010290772,0.965822509,1.35E-12,-0.123738202,0.593079285,-0.327865684,0.146798917,0.211922997,0.356412739,0.212431288,0.35523331,turquoise
etfdh,-0.455698132,0.037889246,-0.950068785,4.64E-11,0.300882227,0.185056361,0.965774927,1.37E-12,-0.21551049,0.348136862,-0.597717893,0.004215542,-0.040564785,0.861409884,0.003335503,0.988551392,turquoise
nudcd3,-0.478993264,0.028029557,-0.897601507,3.46E-08,0.508460992,0.018591575,0.965764709,1.37E-12,-0.091285636,0.693926984,-0.408340162,0.066103133,0.061391373,0.791508008,0.171688468,0.456784999,turquoise
tsen54,-0.485016182,0.025844542,-0.895275788,4.25E-08,0.602459792,0.003849482,0.965762273,1.37E-12,-0.009590859,0.967088367,-0.303805647,0.18061396,0.110850338,0.632398511,0.306064394,0.177231793,turquoise
ssx2ipa,-0.424774803,0.054933069,-0.944598568,1.22E-10,0.304390701,0.17973373,0.965724834,1.38E-12,-0.1642359,0.476841804,-0.588066036,0.005050466,-0.080227663,0.729571978,0.034570463,0.881739105,turquoise
krtcap3,-0.455284058,0.038086174,-0.925466897,1.89E-09,0.407849219,0.066461354,0.965717547,1.39E-12,-0.200658091,0.383129491,-0.50631441,0.019178479,-0.001834287,0.993703949,0.056646658,0.807317859,turquoise
auts2a,0.533471725,0.012756197,0.952603312,2.86E-11,-0.302990751,0.181844886,-0.890849979,6.18E-08,-0.016273206,0.944184806,0.409585049,0.065201335,-0.087477616,0.706136269,-0.218060852,0.342322375,blue
myo1eb,-0.378731782,0.090448956,-0.921717681,2.98E-09,0.369230021,0.099512249,0.965705664,1.39E-12,-0.149177687,0.518677797,-0.584477788,0.005393879,-0.100364444,0.665115986,0.070477433,0.761455991,turquoise
dhx29,-0.45856077,0.036549466,-0.908723214,1.22E-08,0.560834393,0.00817311,0.965699388,1.39E-12,-0.125297495,0.58839279,-0.384223,0.085497473,0.066687426,0.773953883,0.178501294,0.438838548,turquoise
st13,-0.445163356,0.043152643,-0.930024901,1.06E-09,0.528171797,0.013848052,0.965699089,1.39E-12,0.009621416,0.966983564,-0.392597856,0.078337074,0.023375471,0.919888769,0.238123789,0.298595774,turquoise
eri1,-0.52018681,0.015634872,-0.947684732,7.17E-11,0.372753875,0.09607664,0.965692955,1.40E-12,-0.108980844,0.638185573,-0.473649287,0.030088279,0.045713286,0.844015795,0.113030472,0.625675902,turquoise
avpr1ab,0.777862531,3.31E-05,0.868037831,3.42E-07,-0.348855819,0.121158986,-0.782837537,2.73E-05,-0.001122692,0.996146423,0.124864892,0.589691412,-0.421592646,0.056974207,-0.269440115,0.237553279,blue
avpr2b.1_ChrAur2,0.195373356,0.396040673,0.276005669,0.225869953,0.024882151,0.9147427,-0.184284768,0.423900894,-0.124691065,0.590213561,0.097986631,0.672619986,-0.012780445,0.95615197,-0.060378256,0.794877425,grey
avpr2l,-0.006317924,0.97831645,0.238547972,0.297710098,-0.454830945,0.038302582,-0.229664267,0.316595457,0.037007569,0.873464517,-0.051774327,0.823628475,-0.037817253,0.870718204,-0.109487271,0.636615899,grey
ankrd40,-0.183009085,0.427172035,0.613899594,0.003073941,0.00783619,0.973107296,-0.643194852,0.001659093,0.492882943,0.023196556,0.921535244,3.04E-09,0.622424308,0.002585013,0.464676502,0.033811342,brown
g1403,-0.276429781,0.225128449,0.30418978,0.18003569,0.484191603,0.026135432,-0.294834033,0.194481317,0.442140255,0.044763085,0.919925747,3.66E-09,0.690285312,0.000533429,0.605462332,0.003631688,brown
cyyr1,-0.560662228,0.008196985,-0.923469804,2.42E-09,0.587472177,0.005106015,0.965672248,1.40E-12,-0.06093925,0.793011236,-0.299195842,0.187652448,0.176470832,0.444147894,0.254385364,0.265798911,turquoise
axin2_ChrAur2,0.220984088,0.335728432,0.820896694,5.13E-06,0.072322469,0.755392233,-0.702455563,0.000384522,0.096032148,0.678810566,0.663043641,0.001052917,0.291794892,0.199337165,0.102576488,0.658162671,blue
g1142,-0.553174763,0.009292087,-0.923294086,2.47E-09,0.467180222,0.032737964,0.965611124,1.43E-12,-0.036379362,0.875596257,-0.368345574,0.100388493,0.121738988,0.599110831,0.238470164,0.297872437,turquoise
azin1a,-0.322911543,0.153367227,-0.697874615,0.000435738,0.366167243,0.102570679,0.686696254,0.000585779,0.275517197,0.226725964,-0.229548578,0.316846049,-0.004091378,0.985957188,0.423333148,0.055850743,blue
mettl18,-0.519448894,0.015808969,-0.903488316,2.02E-08,0.66977585,0.000895701,0.965484342,1.48E-12,-0.080366386,0.729121293,-0.266371002,0.243146702,0.175913729,0.445610495,0.248449181,0.277495764,turquoise
b2m_ChrAur1,0.651629918,0.001372904,0.985259665,4.93E-16,-0.354295811,0.115075372,-0.935737312,4.82E-10,0.129651746,0.575390038,0.385877239,0.084046033,-0.209618468,0.361788502,-0.13568566,0.557580887,blue
b2m_ChrAur2,0.63833332,0.00184578,0.965528133,1.46E-12,-0.245594222,0.283234086,-0.884550417,1.03E-07,0.180348543,0.434037529,0.437624983,0.047254588,-0.185911989,0.419747935,-0.063433696,0.784726588,blue
b3galnt2,0.409840435,0.065017491,0.249602438,0.275198555,0.184764042,0.422675416,-0.23537612,0.304371859,0.075843201,0.74385986,0.141397677,0.540952712,-0.210180253,0.36047375,0.001435481,0.995072801,grey
